code,name,latitude,longitude,altitude,postal,city
6120,Ontario / du Havre,45.5336609,-73.5521968,22,H2K,Montréal
5002,St-Charles / Montarville,45.533703286938504,-73.51528286933899,13,J4H 2K8,Longueuil
6131,Fullum / Sherbrooke ,45.533924,-73.562425,43,H2K 1E4,Montréal
6166,de BrÃ©beuf / St-GrÃ©goire,45.5341,-73.58852,60,H2J 3L8,Montréal
6907,Boyer / Rosemont,45.534136,-73.595478,69,H2S 2H7,Montréal
6152,Chabot / du Mont-Royal,45.53418509490266,-73.57358872890472,47,H2H 1Y1,Montréal
6251,de GaspÃ© / Dante,45.534357948228354,-73.61223131418228,59,H2S 2Y3,Montréal
7078,Hochelaga / Chapleau,45.53445294687473,-73.55965197086334,32,H2K 1J2,Montréal
6269,Bercy / Ontario,45.53455710466228,-73.5507497191429,25,H2K,Montréal
7045,Casgrain / Mozart,45.53472725603326,-73.6147928237915,59,H2S 3A2,Montréal
6311,Drolet / St-Zotique,45.53488214147823,-73.60941231250763,61,H2S 2T2,Montréal
6121,Gascon / de Rouen,45.53513390280753,-73.55486422777176,20,H2K,Montréal
6344,St-Dominique / Jean-Talon,45.535189,-73.617459,59,H2R 1X3,Montréal
6128,Hogan / Ontario,45.535295480380306,-73.55116009712219,23,H2K,Montréal
6163,Marquette / Laurier,45.53543,-73.5822,53,H2J,Montréal
6912,de Chateaubriand / Beaubien,45.53550590629069,-73.60388159751892,62,H2S 2N6,Montréal
6133,Terrasse Mercure / Fullum,45.535690028316374,-73.56592297554016,46,H2H 1P1,Montréal
6161,Cartier / St-Joseph,45.53576,-73.57867,54,H2H 1X2,Montréal
6385,de Bordeaux /Gilford,45.53611005443118,-73.5762870311737,50,H2H 1Z9,Montréal
6321,Gary Carter / St-Laurent,45.536152810858084,-73.62242102622986,58,H2R 2V7,Montréal
6257,de St-Vallier / St-Zotique,45.536261178519666,-73.60754549503326,60,H2S,Montréal
6151,Parthenais / Mont-Royal,45.536368888563324,-73.57141681015491,46,H2H 2G8,Montréal
5005,St-Charles / St-Sylvestre,45.53637796305584,-73.51264223456383,13,J4H,Longueuil
6130,Sherbrooke / Frontenac,45.5367,-73.56081,43,H2K 1G2,Montréal
6250,MarchÃ© Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925,59,H2S 3S3,Montréal
6249,BÃ©langer / St-Denis,45.53696,-73.61199,60,H2S 1G1,Montréal
6258,Parc PÃ¨re-Marquette (Chambord / Rosemont),45.53702583434782,-73.59316617250443,66,H2G 1N9,Montréal
6167,Marquette / St-GrÃ©goire,45.53703,-73.58584,58,H2J 3Z3,Montréal
6910,Boyer / Beaubien,45.537041,-73.602026,64,H2S 2J2,Montréal
7027,Terrasse Guindon / Fullum,45.537114135456825,-73.56913894414902,47,H2H 1L7,Montréal
6150,Messier / du Mont-Royal,45.53711414,-73.5710031,46,H2H 2J2,Montréal
6262,de la Roche /  de Bellechasse,45.537159225331315,-73.59747648239136,66,H2S 2C8,Montréal
5006,CollÃ¨ge Ã‰douard-Montpetit,45.53722603812578,-73.49506705999374,22,J4H,Longueuil
6236,Laurier / de Bordeaux,45.53725879867612,-73.57917040586472,54,H2H,Montréal
6127,Henri-Julien / de Castelnau,45.537877,-73.618323,59,H2R 2B1,Montréal
6134,Gascon / Rachel,45.537964,-73.562643,46,H2H,Montréal
7029,Cartier / Masson,45.53805998459642,-73.58337676181691,55,H2H 1A2,Montréal
6255,Boyer / St-Zotique,45.53848,-73.60556,60,H2S 2J3,Montréal
6265,Parthenais / St-Joseph,45.53854352327858,-73.5761334747076,52,H2H 2G9,Montréal
6149,Chapleau / du Mont-Royal,45.53867,-73.56936,47,H2H 2L4,Montréal
6260,Dandurand / Papineau,45.538699774322616,-73.58622193336485,61,H2G 1Y6,Montréal
6322,St-Dominique / Gounod,45.538737949470644,-73.62802147865295,54,H2R 1X8,Montréal
6103,LespÃ©rance / de Rouen,45.538799,-73.552496,21,H2K 2N9,Montréal
